symbol,open,high,low,close,MA5,MA50,ADX,RSI,RSIMA100
NSE:LICI,617.15,617.5,617.1,617.45,3937.0,617.9,617.99,26.01,18.26,41.84
NSE:EICHERMOT,3554.5,3555.0,3546.1,3547.25,3689.0,3552.79,3542.29,10.2,46.64,48.06
NSE:CHOLAFIN,1104.2,1106.95,1103.8,1106.95,17801.0,1104.4,1097.0,30.61,62.09,55.65
NSE:COLPAL,1685.0,1686.25,1683.7,1684.5,2249.0,1684.25,1688.39,24.49,53.97,54.58
NSE:PIIND,3854.0,3856.55,3853.4,3854.1,139.0,3854.65,3842.71,22.45,36.2,44.02
NSE:DRREDDY,5070.75,5072.0,5070.0,5070.4,5248.0,5070.98,5045.3,23.47,67.97,54.48
NSE:TECHM,1118.35,1120.0,1118.3,1119.2,10684.0,1118.42,1116.97,27.55,59.71,49.28
NSE:MOTHERSON,84.7,84.75,84.65,84.7,48009.0,84.79,84.9,34.18,41.67,51.61
NSE:ADANIGREEN,945.9,947.6,943.75,947.6,40474.0,945.9,949.51,26.53,62.98,40.08
NSE:TATASTEEL,111.65,111.75,111.65,111.7,192016.0,111.6,110.98,37.66,52.17,55.18
NSE:ADANIENT,2403.55,2405.0,2400.0,2402.1,37425.0,2402.57,2341.79,15.31,66.33,51.47
NSE:HINDALCO,420.1,420.8,420.0,420.65,36098.0,419.98,418.53,23.62,80.36,52.86
NSE:DLF,485.2,485.3,485.0,485.3,7945.0,485.34,484.57,27.55,40.21,48.21
NSE:BAJAJHLDNG,6977.2,6977.85,6977.2,6977.85,7.0,6981.44,6964.66,7.14,51.47,47.41
NSE:VBL,794.95,795.1,794.4,794.45,6516.0,794.93,800.42,38.3,30.28,41.52
NSE:ADANITRANS,801.3,801.4,798.0,800.0,12856.0,801.08,784.99,47.96,61.89,45.95
NSE:AWL,412.6,412.65,412.05,412.05,7427.0,412.41,409.9,21.74,50.33,43.61
NSE:NAUKRI,4440.0,4446.8,4440.0,4446.7,940.0,4445.02,4420.84,18.37,42.77,51.33
NSE:ATGL,654.95,655.2,653.55,654.95,16343.0,655.4,648.22,30.61,57.35,48.28
