symbol,open,high,low,close,volume,SMA5,SMA25,RSI,ADX,VAR,MACOV,CORR
NSE:POONAWALLA,347.89999,349.60001,335.64999,340.85001,1646464.0,345.69,329.55,57.39,11.22,90.01562762378222,0.9205723515433395,0.5821160414268797
NSE:TORNTPOWER,555.40002,557.45001,546.0,555.34998,141289.0,550.33,540.81,63.69,13.27,78.23243656873728,-0.3259851149868964,-0.15714961676677286
NSE:RAMCOCEM,880.0,889.0,872.20001,886.90002,228720.0,882.46,790.34,76.56,39.8,3040.243860713508,0.9862542830938444,0.7797323111426832
NSE:NHPC,43.200001,43.950001,42.75,42.900002,14580394.0,42.94,44.06,7.87,15.31,0.8689730436860562,-0.6329879799929536,0.8199154318416194
NSE:WHIRLPOOL,1444.95,1454.4,1420.6,1424.3,51366.0,1412.72,1351.85,58.83,13.27,1405.55612500003,0.9888618663335683,0.8664463914005329
NSE:DEEPAKNTR,2075.2,2096.75,2065.0,2082.5,474055.0,2064.23,1948.45,64.43,32.65,4355.182101263709,0.9300289070868938,-0.0618819939922238
NSE:CONCOR,672.75,678.5,667.0,673.70001,845659.0,667.56,635.93,71.47,42.86,267.94155566862094,0.9300519235102521,0.5093777101653164
NSE:COROMANDEL,940.29999,962.45001,932.70001,949.15002,329241.0,931.44,949.45,52.53,11.22,364.76301082641163,-0.10960968296730049,0.4447257703277741
NSE:PETRONET,225.5,225.5,223.2,223.7,622678.0,224.83,229.53,36.27,19.39,14.802498644766288,0.5534064592954908,0.17526923847132106
NSE:CROMPTON,273.5,275.95001,271.14999,275.45001,2667398.0,272.93,261.1,59.77,26.22,61.695943350070614,-0.5083029163804064,-0.8135972608108922
NSE:BIOCON,240.3,244.39999,238.5,242.05,2492152.0,241.3,240.64,20.57,48.98,8.289112136874834,0.636873377815413,0.6722833211301997
NSE:JUBLFOOD,488.0,488.35001,481.10001,482.39999,1004989.0,480.6,466.46,61.1,14.29,61.514393789558866,0.9100447259350858,0.5611758264088993
NSE:BANDHANBNK,261.5,265.89999,260.70001,264.14999,6533649.0,260.83,239.7,72.86,38.78,128.94145283165233,0.9715526046281548,0.6134083319300672
NSE:IRFC,32.25,32.599998,32.0,32.450001,38342982.0,32.71,32.99,26.36,26.14,0.8015787052654119,0.08503325275203878,0.6221885833782125
NSE:PATANJALI,1027.15,1034.9,1007.0,1013.15,162713.0,1017.21,954.93,75.73,28.57,1283.6043767580832,0.6740740420978253,0.043785173994316105
NSE:SAIL,82.400002,84.849998,82.050003,84.300003,20634118.0,82.75,83.16,58.89,13.27,1.238709775795656,-0.3867801989878591,0.22226220753909723
NSE:OIL,261.04999,262.79999,256.29999,256.75,1002603.0,263.39,259.84,51.32,29.59,26.048952579010354,0.9297872972079351,0.5326371412993103
NSE:POLICYBZR,606.0,608.20001,591.0,603.20001,1607853.0,614.67,608.15,49.94,8.16,167.48899853706288,0.76552026108849,0.6723711731963227
NSE:BHEL,79.099998,83.599998,77.25,83.0,69936887.0,80.86,80.62,54.37,7.14,4.079598509214897,-0.21292230255089628,-0.27118172060264795
NSE:PRESTIGE,483.0,487.95001,472.10001,474.89999,421969.0,489.83,486.81,44.47,17.35,90.98429175533938,0.28401227124514783,0.1697748124015344
